state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num
Ohio,Monroe,39111,2018,2018-07-19 00:00:00,102562,78,,2.0,105.0,2.159,2.258868,2.35257376,2.0,,"['78', '78']",4.1483504126845725,180426
Ohio,Shelby,39149,2018,2018-07-19 00:00:00,88700,705,,2.0,88.0,1.359,1.5225,1.51743782,1.0,,['705'],-0.3324912972085331,180431
Ohio,Stark,39151,2018,2018-07-19 00:00:00,98392,173 / 41 / 44 / 62 / 153,,2.0,377.0,3.258,2.95937706,2.71783966,4.0,,"['173', '173', '41', '44', '62', '173', '173', '173', '153', '44', '173']",-8.161764962792537,180432
Ohio,Washington,39167,2018,2018-07-19 00:00:00,101181,32 / 339,,2.0,103.0,1.042,1.11198199,1.06721718,1.0,,"['32', '339']",-4.0256776101203045,180433
Ohio,Logan,39091,2018,2018-07-19 00:00:00,105327,274,,2.0,74.0,0.58,0.6657746999999999,0.71167183,1.0,,['274'],6.893793050411809,180435
Ohio,Warren,39165,2018,2018-08-02 00:00:00,106242,71,,4.0,393.0,17.632,16.07098501,15.99476412,2.0,,"['71', '71', '71']",-0.4742764052892478,180411
Ohio,Champaign,39021,2018,2018-08-02 00:00:00,99982,54,,2.0,90.0,0.244,0.2310335499999999,0.24896266,2.0,,['54'],7.760392375912514,180436
Ohio,Cuyahoga,39035,2018,2018-08-02 00:00:00,100254,14580 / 14711,,4.0,332.0,1.472,1.41030201,1.40602454,4.0,,"['14580', '14711']",-0.3033017020233925,180437
Ohio,Holmes,39075,2018,2018-08-02 00:00:00,96794,62,,2.0,424.0,2.61,2.59599301,2.62626098,4.0,,['62'],1.1659495955268442,180438
Ohio,Jackson,39079,2018,2018-08-02 00:00:00,100491,93,,2.0,78.0,0.543,0.5537627900000001,0.65958799,2.0,,"['93', '93']",19.110204208556507,180439
Ohio,Ross,39141,2018,2018-08-02 00:00:00,97315,167,,2.0,302.0,1.43,1.33069624,1.22955267,2.0,,['167'],-7.600800765770561,180442
